alberto oliveras (barcelona, octubre de 1929 - parís, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título "ustedes son formidables" que estaba dedicado a la recaudación de fondos para causas sociales.	célebre	conocido	famoso	reconocido	muy conocido	popular	reconocida	importante	ilustre	renombrado	de fama mundial
aparece como productor y remezclador de notables artistas en el panorama internacional como madonna, kylie minogue, missy elliott, the killers, gwen stefani, seal, keane, pet shop boys, take that, scissor sisters y frankmusik.	remezclador	productor	arreglador	mezclador	compositor	arreglista	compositora	recopilador	autor	conductor	armonioso
apareció por primera vez en "tekken 3" sorprendiendo a los fanáticos del "tekken", pues mokujin tiene la capacidad de mimetizar las técnicas de todos los personajes (mojukin-ken).	mimetizar	imitar	adaptar	mezclar	modelar	revivir	modificar	cambiar	replicar	asemejar	ajustar
casi siempre de forma circular, acorazonada u ovalada, macizo o calado, ubicado en la parte delantera central, sujeta por medio de cadenas que surgen del centro un cinturón ancho de cuero, adornado con apliques de metal, o también con monedas de la época, como por ejemplo los patacones, hechos de oro, plata u otros materiales, según el poder económico de su dueño.	apliques	adornos	elementos	adorno	botones	accesorios	ornamentos	partes	piezas	pegamento	formas
como substitución se realizó un puente pedestre de 60 metros durante el gobierno de la república democrática alemana (rda).	substitución	sustitución	cambio	reemplazo	recambio	reversión	reparación	modificación	restitución	conversión	renovación
corazón de tinta: trata de una familia muy pequeña compuesta por una chica llamada meggie y su padre llamado mortimer,al que meggie le deci mo, mo tenía un poder sobrenatural para lograr que los personajes de los libros con solo leer en voz alta cobraran vida, pero no quería que su hija se enterara ya que tenía miedo de que le pidiera leer en voz alta y la niña desaparezca como ocurrió como su esposa,ellos viven en una choza ubicada en un campo de alemania.	sobrenatural	extraño	mágico	extraordinario	increíble	raro	misterioso	desconocido	especial	enigmático	inusual
cuanto a los artistas, los únicos que resisten a la compresión y preservan sus personalidades, conocen una tragedia propia: el ideal estético es mortífero, como lo prueba el suicidio del pintor lucien, inspirado en vincent van gogh, que mirbeau acaba de descubrir.	mortífero	mortal	fatal	terrible	letal	asesino	cruel	devastador	brutal	violento	de muerte
desde pequeño, sus padres le habían inculcado el amor a la libertad y al sueño democrático.	inculcado	enseñado	educado	transmitido	introducido	instaurado	incentivado	acostumbrado	capacitado	dado	contagiado
disputará la temporada 2013/14 con la ud las palmas tras haber rescindido su contrato con la entidad bilbaina.	rescindido	finalizado	cancelado	acabado	terminado	resuelto	finado	anulado	renovado	renunciado	rompido
durante la gran expedición ateniense, etna e hybla permanecieron leales a siracusa y fueron asoladas por los trirremes atenienses.	asoladas	arrebatadas	asolada	atacadas	asesinadas	derrotadas	destruidas	salida	sacudidas	abatidas	derribadas
el club fue fundado como "bsg pneumatik aue" el 4 de marzo de 1946 bajo el patrocinio de las empresas locales de construcción.	patrocinio	apoyo	respaldo	patrocinador	amparo	avalúo	aval	compromiso	ayuda	incentivo	aprobación
el ejército intervino entonces con un contragolpe, que devolvió al país a la normalidad constitucional, imponiendo a laisenia qarase como primer ministro.	contragolpe	asalto	contraataque	ataque	golpe	contraasalto	cambio de mando	bloqueo	agresión	apoyo	contrasalto
el entorno geográfico de metlatónoc ha propiciado un aislamiento que agudiza la pobreza de su población, al grado que, según los reportes del consejo nacional de la población (conapo), los habitantes del lugar tienen un índice de desarrollo humano similar al de países africanos como burundi.	agudiza	acentúa	aumenta	eleva	agrava	intensifica	engrandece	acentua	profundiza	alarga	refuerza
el nombre bobadal proviene de la lengua quichua lengua ancestral de santiago del estero bobadal significa tierra suelta o polvo suelto	ancestral	antigua	antiguo	original	de origen antiguo	originaria	de origen	originario	tradicional	primitiva	anterior
el principal asentamiento se encuentra en la zona noroeste del atolón.	asentamiento	sitio	lugar	alojamiento	poblado	refugio	enclavamiento	enclave	residencia	establecimiento	asentamientos
en 1961 se logró recaudar la cifra de 3.000.000 de pesetas de la época en la emisión especial dedicada a obtener socorros para los damnificados por la grave inundación que tuvo lugar en sevilla, causada por el desbordamiento del arroyo tamarguillo que dejó a miles de personas sin hogar.	damnificados	dañados	evacuados	destrozados	destruidos	desalojados	devastados	desprotegidos	atrapados	castigados	abandonados
en 1967 se unió a la facultad de la universidad de colorado en boulder, donde permaneció hasta su jubilación.	jubilación	retiro	muerte	fallecimiento	fin	cese	después de la muerte	abdicación	fin de la educación	aniversario	enfermedad
en la santería sincretiza con la virgen de las mercedes, patrona de barcelona.	sincretiza	ambigua	simbólica	mezcla	paralela	antigua	ínfimo	sincroniza	sagrada	concreta	religiosa
en su término municipal presenta otro núcleo urbano conocido como san román del valle, en el que destaca el convento de nuestra señora del valle, construcción gótica iniciada en el siglo xv del que se conserva una notable fachada barroca y en la que se hallaba originalmente el artesonado que actualmente decora la torre del caracol del parador de benavente.	artesonado	barandilla	columna	escultura	alero	adorno	arpón	recinto	escudo	bóveda	ladrillo
entonces inició su carrera en solitario y se convirtió en una de las más prominentes bailarinas de la danza moderna.	prominentes	reconocidas	destacadas	importantes	famosas	conocidas	populares	reconocido	distinguidas	conocidos	prestigiosas
esta región recibe su nombre de las batallas que mantuvieron los jinetes de dragón de vrael contra los apóstatas y sus aliados.	apóstatas	asesinos	espiritistas	ateos	demagogos	desconocidos	ángeles	demoníacos	enemigos	brujos	ocultistas
estaba emplazada en el territorio de los taulantios, un conglomerado de tribus ilirias que quedaron estrechamente vinculados durante siglos con el asentamiento y vivieron junto a los colonos griegos.	conglomerado	grupo	conjunto	agrupación	aglomerado	cantidad	composición	aglomeración	comunidad	equipo	ensamblado
estaba en la desembocadura del "acesines" en el lugar donde después se construyó "tauromenium".	desembocadura	desemboque	confluencia	salida	desagüe	orilla	fondo	boca	ribera	avenida	pendiente
estaban en la jurisdicción de santiago del estero y en catamarca.	jurisdicción	territorio	zona	región	ley	competencia	localidad	limitación	distrito	dominio	circunscripción
fue un anticlerical liberal, guiando a su facción al consejo e intentó influenciar al emperador para que adopte políticas anticlericales, marcadamente en contra de la influencia de la esposa del mismo emperador, la emperatriz eugenia, una católica devota y conservadora, y de los que anhelaban que las tropas francesas protejan la soberanía del papa en roma.	anhelaban	deseaban	querían	esperaban	aspiraban	temían	soñaban	quería	exigían	ansiaban	desean
ha cultivado la poesía y la narrativa.	narrativa	narración	novela	literatura	historia	poesía	novelas	lectura	obra literaria	escritura	literaria
